@relation mushroom-pn
@attribute cap-shape{x,b,s,f,k,c}
@attribute cap-surface{s,y,f,g}
@attribute cap-color{n,y,w,g,e,p,b,u,c,r}
@attribute bruises?{t,f}
@attribute odor{p,a,l,n,f,c,y,s,m}
@attribute gill-attachment{f,a}
@attribute gill-spacing{c,w}
@attribute gill-size{n,b}
@attribute gill-color{k,n,g,p,w,h,u,e,b,r,y,o}
@attribute stalk-shape{e,t}
@attribute stalk-root{e,c,b,r}
@attribute stalk-surface-above-ring{s,f,k,y}
@attribute stalk-surface-below-ring{s,f,y,k}
@attribute stalk-color-above-ring{w,g,p,n,b,e,o,c,y}
@attribute stalk-color-below-ring{w,p,g,b,n,e,y,o,c}
@attribute veil-type{p}
@attribute veil-color{w,n,o,y}
@attribute ring-number{o,t,n}
@attribute ring-type{p,e,l,f,n}
@attribute spore-print-color{k,n,u,h,w,r,o,y,b}
@attribute population{s,n,a,v,y,c}
@attribute habitat{u,g,m,d,p,w,l}
@attribute y{n,p}
@inputs cap-shape, cap-surface, cap-color, bruises?, odor, gill-attachment, gill-spacing, gill-size, gill-color, stalk-shape, stalk-root, stalk-surface-above-ring, stalk-surface-below-ring, stalk-color-above-ring, stalk-color-below-ring, veil-type, veil-color, ring-number, ring-type, spore-print-color, population, habitat
@outputs y
@data
x,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,n
f,f,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g,n
x,f,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,n
x,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,n
x,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,n
f,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g,n
x,s,w,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u,n
f,y,e,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,e,w,c,w,p
x,y,u,f,n,f,c,n,w,e,b,s,f,w,w,p,w,o,f,h,y,d,p
x,y,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,g,n
x,y,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d,n
x,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,p,n
f,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d,n
x,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p,n
f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,g,n
f,f,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g,n
x,y,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p,n
f,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p,n
f,s,p,t,n,f,c,b,w,e,b,s,s,w,e,p,w,t,e,w,c,w,p
f,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p,n
x,y,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,n
x,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p,n
f,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g,n
x,f,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d,n
f,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d,n
f,y,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,n
x,y,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,n
x,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,n
f,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,n
f,f,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d,n
x,y,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,n
f,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p,n
f,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d,n
x,y,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g,n
f,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,n
x,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,n
f,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,d,n
x,y,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p,n
x,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g,n
x,y,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p,n
f,f,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p,n
f,y,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d,p
f,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d,n
x,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p,n
x,s,g,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,g,n
f,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,n
x,y,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,p,n
x,f,w,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d,n
x,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d,n
f,s,b,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,s,u,n
x,y,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,n
x,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d,n
f,f,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g,n
f,s,p,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g,n
f,s,b,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,v,u,n
x,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,g,n
x,y,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,n
x,y,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g,n
f,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,p,n
f,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p,n
x,f,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p,n
f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,p,n
f,y,u,f,n,f,c,n,u,e,b,s,f,w,w,p,w,o,f,h,v,d,p
x,f,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g,n
f,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,p
f,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,g,n
x,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,g,n
x,y,n,f,f,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,l,n
x,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g,n
x,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d,n
f,f,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g,n
x,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p,n
x,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g,n
x,f,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d,n
f,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g,n
f,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,p,n
f,y,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,n
f,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,p
x,y,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g,n
f,f,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d,p
x,f,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d,n
x,y,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p,n
f,y,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p,n
x,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p,n
f,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,d,n
f,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d,n
f,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p,n
f,y,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g,n
x,f,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d,n
x,y,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p,n
f,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,d,n
x,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d,n
f,f,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p,n
f,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d,n
x,f,p,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d,n
f,f,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,d,n
x,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d,n
x,y,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,n
x,y,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d,n
f,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,n
x,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,n
x,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,n
f,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d,n
f,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,n
x,y,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d,n
f,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d,n
x,y,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,n
x,y,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,d,n
x,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d,n
x,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g,n
x,f,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g,n
x,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,d,n
f,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p,n
f,f,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g,n
x,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,n
x,f,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d,n
x,y,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d,n
f,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p,n
x,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p,n
x,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d,n
f,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d,n
f,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p,n
x,s,p,t,n,f,c,b,e,e,b,s,s,w,w,p,w,t,e,w,c,w,p
f,f,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,d,n
x,s,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,n
x,f,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g,n
f,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,n
x,f,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g,n
f,f,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d,p
x,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d,n
x,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,n
f,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g,n
f,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,n
f,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,p
x,y,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,p,n
f,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p,n
x,y,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,p,n
f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d,n
f,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d,n
f,y,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g,n
f,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g,n
x,y,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,g,n
f,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,n
x,y,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,g,n
f,f,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,p
x,s,g,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,s,g,n
x,y,n,f,f,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,p,n
f,s,g,t,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,v,g,n
f,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g,n
f,y,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,g,n
f,y,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,d,n
f,y,e,t,n,f,c,b,e,e,b,s,s,w,e,p,w,t,e,w,c,w,p
f,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,n
x,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g,n
f,f,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,d,n
x,y,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,d,n
f,f,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g,n
f,y,n,t,n,f,c,b,e,e,b,s,s,e,e,p,w,t,e,w,c,w,p
f,y,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,g,n
k,f,n,f,n,f,c,n,w,e,b,k,y,w,n,p,w,o,e,w,v,d,n
f,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d,n
f,f,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,n
x,y,n,f,s,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,p,n
f,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,d,n
f,f,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p,n
f,s,w,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,v,g,n
f,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d,n
x,y,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,g,n
x,f,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,n
x,y,e,t,n,f,c,b,w,e,b,s,s,e,e,p,w,t,e,w,c,w,p
f,y,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,d,n
b,f,y,f,n,f,c,n,w,e,b,k,y,w,n,p,w,o,e,w,v,d,n
f,y,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,d,n
x,s,g,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,u,n
f,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,d,n
f,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,n
k,y,e,t,n,f,c,b,e,e,b,s,s,w,w,p,w,t,e,w,c,w,p
f,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p,n
f,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p,n
k,y,n,f,n,f,w,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l,p
x,s,w,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d,n
x,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g,n
x,f,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p,n
x,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,n
f,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p,n
b,s,b,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g,n
x,s,w,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,v,g,n
f,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,p
b,s,w,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m,n
f,y,p,t,n,f,c,b,w,e,b,s,s,e,e,p,w,t,e,w,c,w,p
x,s,w,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,v,g,n
k,y,n,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,e,w,c,w,p
x,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,n
f,s,b,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u,n
f,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d,n
x,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,d,n
x,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d,n
x,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,n
x,y,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d,n
x,y,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d,n
x,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p,n
x,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p,n
f,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,n
k,s,e,t,n,f,c,b,w,e,b,s,s,e,w,p,w,t,e,w,c,w,p
f,y,n,t,n,f,c,b,e,e,b,s,s,e,w,p,w,t,e,w,c,w,p
f,s,b,t,n,f,c,b,w,e,b,s,s,e,w,p,w,t,e,w,c,w,p
x,y,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d,n
f,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d,p
f,f,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p,n
f,y,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g,n
x,s,g,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,v,g,n
f,f,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p,n
x,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d,n
f,f,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g,n
x,y,n,f,f,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p,n
f,y,n,t,n,f,c,b,e,e,b,s,s,w,w,p,w,t,e,w,c,w,p
f,y,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,p
f,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g,n
x,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p,n
f,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d,n
f,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,p
x,y,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p,n
f,f,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p,n
f,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,p,n
f,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d,n
x,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,n
b,y,w,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,m,n
f,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,p,n
x,y,n,f,f,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,d,n
f,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,n
x,y,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g,n
f,y,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,n
f,y,p,t,n,f,c,b,e,e,b,s,s,e,e,p,w,t,e,w,c,w,p
x,s,w,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,s,g,n
f,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,n
x,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,p,n
x,f,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g,n
f,s,b,t,f,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,s,u,n
x,f,g,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,n
x,f,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,n
f,y,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,n
f,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p,n
x,y,r,f,n,f,c,n,p,e,b,s,f,w,w,p,w,o,f,h,y,d,p
f,y,w,f,n,f,c,n,h,e,b,s,f,w,w,p,w,o,f,h,v,d,p
x,f,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,d,n
f,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,n
f,y,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g,n
x,y,e,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,n
x,y,e,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,l,n
x,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d,n
x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g,n
f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d,n
x,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g,n
x,y,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d,n
f,f,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,n
f,s,e,t,n,f,c,b,w,e,b,s,s,w,e,p,w,t,e,w,c,w,p
f,f,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,n
x,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p,n
f,s,g,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,g,n
f,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g,n
x,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d,n
x,f,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p,n
x,s,g,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,v,u,n
f,y,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g,n
f,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g,n
x,s,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d,n
f,y,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p,n
f,y,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d,p
x,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,n
x,y,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p,n
k,s,b,t,n,f,c,b,e,e,b,s,s,w,w,p,w,t,e,w,c,w,p
f,f,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g,n
f,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d,n
x,y,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g,n
x,f,n,f,n,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l,p
x,y,e,t,n,f,c,b,e,e,b,s,s,e,e,p,w,t,e,w,c,w,p
x,y,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p,n
x,f,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,g,n
f,s,g,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,v,g,n
x,y,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g,n
f,y,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p,n
x,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g,n
x,y,n,f,s,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,p,n
k,s,b,t,n,f,c,b,w,e,b,s,s,e,w,p,w,t,e,w,c,w,p
f,f,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d,n
x,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p,n
f,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,p,n
x,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d,n
f,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g,n
